GeneSymbol	APOD	CCDC92	CYS1	GSDME	ST8SIA5	STARD3NL	TMEM245	TSPYL5	VAT1
Sample001	4.910403933	7.280156494	3.556429805	5.432101107	4.022011331	9.708303851	8.952352559	4.639713201	8.219834508
Sample002	4.818015669	7.594630812	3.912464318	7.003417689	4.018547432	9.363093	9.00171751	6.219113189	8.640016018
Sample003	5.63300755	7.230586697	3.907657706	6.430988267	4.081217121	9.606120194	8.868925322	5.946304077	8.055955822
Sample004	5.011486617	6.753626366	3.790372939	6.55458038	4.210192979	8.349012435	8.891332062	5.822637583	7.983379136
Sample005	4.783749103	7.350128611	3.801805517	10.00333653	4.016042855	10.29934221	8.994841662	6.016874862	8.478708884
Sample006	5.976633686	7.147941911	5.413414591	7.782885739	3.837218487	10.30301356	8.898030683	9.307556186	8.709330394
Sample007	6.145431469	6.1927853	3.485165196	9.728848272	3.927753164	10.39391105	8.379410425	10.27910579	8.292463017
Sample008	6.539116815	7.26654995	4.071915767	6.981063427	4.129476795	9.804748203	8.967719484	6.379142289	8.154924629
Sample009	5.145648992	6.676741969	3.669600647	7.163371872	4.763110366	10.17660109	8.663372529	5.276389908	8.497795128
Sample010	6.453079966	7.032238117	4.560442148	8.440626575	3.790415356	10.36068388	8.786983015	7.378416727	8.431815834
Sample011	5.5290651	7.616226281	3.936933449	8.482907073	3.839091685	10.17975063	8.793178959	7.019045657	8.373573357
Sample012	4.900083855	7.242284736	3.602213639	7.486528775	4.20173297	9.822045229	8.393376884	5.199931234	7.767650457
Sample013	9.727527144	8.476459692	6.323811627	8.914396595	3.844510683	10.56533359	10.55397879	8.529503626	8.980765318
Sample014	10.56833732	8.332762202	6.057694481	8.076100786	3.934876193	9.973966958	10.42410484	7.792792662	8.810373668
Sample015	9.345280906	8.477907322	7.049185869	8.678756707	3.738180862	9.703200586	10.19131205	8.227531351	8.281252941
Sample016	7.218850282	7.823054962	6.247313427	6.872104999	3.945332195	9.980774479	10.45140227	8.569168184	7.89874716
Sample017	4.595751659	6.659654198	3.772684147	6.250952793	3.668202145	10.20788142	8.295074065	5.12305768	8.533810334
Sample018	6.047741005	6.974438337	3.58828331	6.308547489	4.06583157	9.568054447	9.154293002	5.875591992	7.907848873
Sample019	5.073871167	8.313425812	4.526643718	6.630221543	4.177363041	10.12614382	9.184960809	5.597610031	7.876944454
Sample020	6.839091459	8.007612884	3.834017877	6.984797184	3.836584008	9.829380999	8.960792665	6.768349446	7.881311964
Sample021	5.515003812	6.915281992	3.67538351	6.835755456	3.707742047	9.840737929	9.170199149	6.505436664	8.451621205
Sample022	5.305655372	7.70352348	4.78034515	7.559335627	4.002426902	10.17004127	8.942672018	6.271093559	8.108342223
Sample023	7.536528802	8.353956729	8.6953457	10.90889145	3.950109265	10.179029	9.434391752	8.852887035	8.707137753
Sample024	4.815322381	6.733391101	3.785617373	7.159332524	4.137345613	9.906040786	8.93412075	5.670233781	8.277324321
Sample025	5.632256404	7.472047994	4.012015401	8.520843034	4.09133322	9.828004681	8.639129656	7.133184999	8.181594219
Sample026	6.228730667	7.643530534	3.77807842	7.213932889	3.831158717	9.913971679	9.005937812	7.792079228	8.179899126
Sample027	5.616569957	7.780856557	4.107582024	7.28253925	4.036158382	9.636657723	8.933562988	6.657603549	8.204538843
Sample028	7.628063656	7.225266948	4.317746974	6.804084931	4.035843541	9.956226468	8.895200813	6.932969491	8.286645431
Sample029	5.476883463	7.249113526	3.589350455	5.254828868	4.155651057	9.992655776	8.594072521	4.616406388	7.37243844
Sample030	6.611281653	7.996296058	4.569833482	8.554758031	3.58837403	9.923756954	8.898745769	8.1167252	8.608985592
Sample031	5.914157746	7.663113584	3.95147181	7.827129242	4.057342305	9.856241555	9.151606159	6.448141049	8.161474119
Sample032	4.767020796	7.483862885	4.167479829	8.062051542	4.029865142	9.969646968	8.672702166	6.411905812	8.216162615
Sample033	4.503794112	7.432424861	3.456897196	6.973041411	3.974105795	9.986232276	9.029414963	5.676609578	7.497399174
Sample034	7.247862175	7.885932649	4.195116394	6.024769971	3.664101571	9.604702942	8.75096888	6.195351286	7.422819748
Sample035	5.013897153	8.578129003	3.517439318	5.775341089	4.737083695	9.626120181	8.54335297	6.597241538	8.482956545
Sample036	4.878467838	8.369113206	3.829304838	10.54638948	4.011877542	10.03692232	8.924814321	9.745687109	8.422901877
Sample037	6.333507313	8.067663234	4.300757988	7.202653019	4.153250842	10.02259186	9.279505776	6.862683494	9.234204514
Sample038	7.387090154	8.082237232	4.88206106	9.150922183	3.985122834	10.42514633	8.626429905	8.244835215	8.692784108
Sample039	5.656390727	7.009811167	3.630867078	6.755899442	3.979782098	9.206916061	8.756254927	9.670290363	8.230496481
Sample040	6.362614229	7.979828536	4.096517717	7.193138213	3.960172306	10.18151514	9.105575046	7.849978695	8.668056977
Sample041	8.661251887	7.379279914	4.094998136	10.94331394	4.523932026	10.42901103	9.443567794	5.602867894	8.761281865
Sample042	4.757635252	7.644617667	3.396318345	9.332220746	4.072455439	10.00852288	8.748619153	4.891942323	8.356272943
Sample043	4.759606502	8.268844825	3.767604071	6.501783216	4.180740998	10.30013659	8.467610586	5.033029278	7.584583674
Sample044	5.177738847	6.621478045	3.515771253	7.512076998	4.325795024	9.623660749	8.717954404	5.99424029	7.950391813
Sample045	5.682210364	8.359372691	3.676943739	6.723653285	4.131092624	8.87768995	8.309420382	9.642569541	7.708851001
Sample046	5.889369985	7.583599871	4.873004369	6.894884731	4.067381494	9.943203242	8.6810446	7.953766988	8.095355147
Sample047	6.623189125	8.009173821	5.000742932	7.320988117	4.116060856	9.633057713	8.764250609	7.080520108	8.059768594
Sample048	7.303184809	7.56831357	3.771208541	7.53990514	3.882472036	9.044179168	8.364762351	6.724516945	8.6331693
Sample049	6.748464773	8.450077604	4.491894212	7.576808655	4.353626177	10.21177025	8.640311604	6.849980297	8.115579289
Sample050	6.697018084	7.795864275	4.530966428	7.685008053	3.694636878	9.902731479	8.719173741	7.106681845	8.303501006
Sample051	5.055863745	7.715485296	4.585913523	6.396312673	3.86601108	9.677253734	9.004508382	5.581778559	7.604865455
Sample052	4.83968405	8.076464325	3.954090273	7.904293328	4.154446785	10.34515413	8.500708731	6.290572531	8.309950044
Sample053	5.277530374	7.446755939	3.889764065	6.611781517	4.230889639	10.04882734	8.4226392	6.5538549	7.602089413
Sample054	7.354913258	7.651043582	3.719361008	6.749552428	4.069831467	10.07350446	9.079183915	6.792871609	8.296729258
Sample055	6.869695302	6.989750301	4.358071757	7.143821057	3.779741911	9.765739156	8.924155205	6.448174426	8.346949348
Sample056	4.498113194	6.719271503	6.485923638	7.987102108	3.841745887	9.311289468	9.033628106	8.455342468	8.877451568
Sample057	6.857645648	8.570286716	4.270475193	6.802195372	4.044315252	10.38451251	8.769446267	5.747891634	8.882932881
Sample058	5.304285874	7.533833813	3.431341071	5.987747203	4.025462005	10.09811179	9.077832462	4.535387736	8.538382249
Sample059	4.396355697	8.06533542	8.147565283	6.650690632	4.206805623	9.840784819	8.456422754	10.61085846	9.134192374
Sample060	5.905203747	7.671106339	3.710150449	6.666622766	4.028160122	9.217662255	8.9775171	4.651063964	8.002145821
Sample061	6.22784009	7.83854377	3.777052302	9.594618454	4.287182477	9.073323737	9.007434382	9.639915379	7.819832389
Sample062	6.627848591	7.965632256	3.869618726	9.767289324	4.156504695	10.24666094	8.817792197	10.03779859	8.689721315
Sample063	4.986894699	7.236350146	3.679072498	6.928157996	4.142560962	9.746155275	8.758044138	5.484485064	8.015385097
Sample064	5.69731797	7.572794086	4.586025118	8.223724744	3.996263249	9.953814329	9.026797178	6.363828467	8.545893099
Sample065	4.390393816	7.857069752	3.699285092	6.9630646	4.26293444	8.428045623	9.21761569	5.396057944	7.535063773
Sample066	4.365569428	8.231746746	3.405883278	6.82354407	4.20737929	9.7566422	8.732128517	6.006935784	7.346835933
Sample067	4.887354834	7.286785242	5.207623378	7.738601496	3.838162333	9.811350994	9.175239379	8.152941293	9.781218388
Sample068	7.114618686	7.78652492	4.405299078	9.509104457	3.86770181	10.5183093	9.331293529	7.450667468	8.628315594
Sample069	6.208217886	7.660223983	4.158052752	7.137572934	3.791501689	9.899669557	9.158751751	8.032948686	8.167686649
Sample070	8.09967949	7.317488536	4.943987113	8.353275173	3.91338523	10.09976333	9.264737171	6.821782394	8.568202171
Sample071	6.815279955	7.636406934	4.801201854	10.19545296	4.071924399	10.15074861	8.858038183	6.042103595	8.725099083
Sample072	4.794681856	6.988242221	3.622775218	5.730333378	4.520995981	9.593697397	9.454996922	5.893244935	7.815700206
Sample073	5.337679006	8.413904778	3.758927248	7.93869968	3.973469473	10.10796206	8.67397408	5.0116044	8.313920279
Sample074	7.493152093	7.903361021	4.7505194	9.100351108	3.931591365	10.39626999	8.704440591	10.10279562	7.957928366
Sample075	5.415733784	6.961495823	7.099001715	6.17583673	3.971359748	9.852311241	9.06008658	5.455859215	7.931776934
Sample076	6.029707548	7.936606217	4.688135127	8.37170222	4.01297615	10.12556255	8.72001798	7.166717798	8.530957968
Sample077	10.8809981	7.668553102	6.558400709	9.238870009	3.880670623	9.958593186	9.279902758	8.843219327	9.696052361
Sample078	7.002289883	7.048525995	3.927122103	7.669730554	4.203090051	9.731825311	8.608180782	6.303178381	9.345089309
Sample079	6.234012984	8.142996979	3.841182698	7.378478187	4.044450361	10.30663608	9.212455546	5.475561228	8.313402681
Sample080	5.17074325	7.799549187	3.906662757	7.471646081	4.002858216	8.68206272	8.654069105	5.851100745	8.304221426
Sample081	4.829521539	7.76225856	3.789419683	8.48036831	4.055751631	10.25405301	8.90673142	7.345199616	8.075706625
Sample082	5.0871109	8.113017063	3.760654414	8.427681571	4.089243201	10.40997231	8.742839819	10.00523418	8.870355141
Sample083	5.25665326	7.914600007	3.691506382	6.873698516	3.755096503	10.32649466	9.663276935	6.109545889	7.924077585
