	CGRS	Probability
x0	1000000	0
x1	6.737105468	0.035
x2	6.710889041	0.036
x3	6.685264322	0.037
x4	6.660200822	0.038
x5	6.635669574	0.039
x6	6.611643061	0.04
x7	6.588095144	0.041
x8	6.565016216	0.042
x9	6.542376524	0.043
x10	6.52015139	0.044
x11	6.498340978	0.045
x12	6.476906169	0.046
x13	6.455852586	0.047
x14	6.435149481	0.048
x15	6.414786264	0.049
x16	6.394760726	0.05
x17	6.375046731	0.051
x18	6.355634472	0.052
x19	6.336521101	0.053
x20	6.317694232	0.054
x21	6.299139538	0.055
x22	6.28084848	0.056
x23	6.262812786	0.057
x24	6.245024446	0.058
x25	6.227475702	0.059
x26	6.210159044	0.06
x27	6.193067197	0.061
x28	6.176193117	0.062
x29	6.159529984	0.063
x30	6.143071196	0.064
x31	6.126810358	0.065
x32	6.110741282	0.066
x33	6.0948589	0.067
x34	6.079165914	0.068
x35	6.06364826	0.069
x36	6.04830045	0.07
x37	6.033117173	0.071
x38	6.018102068	0.072
x39	6.003247783	0.073
x40	5.988543842	0.074
x41	5.973989585	0.075
x42	5.95959011	0.076
x43	5.945327944	0.077
x44	5.93120618	0.078
x45	5.917225821	0.079
x46	5.903370801	0.08
x47	5.889655096	0.081
x48	5.876060954	0.082
x49	5.862592771	0.083
x50	5.84924688	0.084
x51	5.836016881	0.085
x52	5.822907217	0.086
x53	5.809906449	0.087
x54	5.797021559	0.088
x55	5.784241443	0.089
x56	5.771570426	0.09
x57	5.759002734	0.091
x58	5.746535211	0.092
x59	5.734172059	0.093
x60	5.721898279	0.094
x61	5.709731981	0.095
x62	5.697652134	0.096
x63	5.685665855	0.097
x64	5.673772813	0.098
x65	5.661962032	0.099
x66	5.650244722	0.1
x67	5.638611141	0.101
x68	5.627055968	0.102
x69	5.615590156	0.103
x70	5.604203114	0.104
x71	5.592890829	0.105
x72	5.581660161	0.106
x73	5.570507446	0.107
x74	5.559426028	0.108
x75	5.548415199	0.109
x76	5.537485271	0.11
x77	5.52662336	0.111
x78	5.515828555	0.112
x79	5.505100008	0.113
x80	5.494446869	0.114
x81	5.483857773	0.115
x82	5.473331864	0.116
x83	5.462868299	0.117
x84	5.452469349	0.118
x85	5.442136305	0.119
x86	5.431862786	0.12
x87	5.421648004	0.121
x88	5.411491178	0.122
x89	5.40139154	0.123
x90	5.391353426	0.124
x91	5.381372285	0.125
x92	5.371445779	0.126
x93	5.361573187	0.127
x94	5.3517538	0.128
x95	5.341986919	0.129
x96	5.332271852	0.13
x97	5.322609908	0.131
x98	5.313000881	0.132
x99	5.30344139	0.133
x100	5.293930787	0.134
x101	5.284468435	0.135
x102	5.275053706	0.136
x103	5.26568598	0.137
x104	5.256364646	0.138
x105	5.247089101	0.139
x106	5.237858751	0.14
x107	5.228673011	0.141
x108	5.219531304	0.142
x109	5.210433059	0.143
x110	5.201378886	0.144
x111	5.192367416	0.145
x112	5.183397548	0.146
x113	5.174468751	0.147
x114	5.165580498	0.148
x115	5.156732271	0.149
x116	5.147923558	0.15
x117	5.139153854	0.151
x118	5.130422664	0.152
x119	5.121729497	0.153
x120	5.113073869	0.154
x121	5.104455304	0.155
x122	5.095873333	0.156
x123	5.087327493	0.157
x124	5.078817326	0.158
x125	5.070342384	0.159
x126	5.061902222	0.16
x127	5.053496403	0.161
x128	5.045124496	0.162
x129	5.036786075	0.163
x130	5.028481775	0.164
x131	5.020210714	0.165
x132	5.011972019	0.166
x133	5.003765283	0.167
x134	4.995590109	0.168
x135	4.987446103	0.169
x136	4.979332876	0.17
x137	4.971250047	0.171
x138	4.963197239	0.172
x139	4.95517408	0.173
x140	4.947180204	0.174
x141	4.93921525	0.175
x142	4.931278863	0.176
x143	4.923370692	0.177
x144	4.91549039	0.178
x145	4.907640734	0.179
x146	4.899818418	0.18
x147	4.892023038	0.181
x148	4.884254266	0.182
x149	4.876511777	0.183
x150	4.868795252	0.184
x151	4.861104376	0.185
x152	4.853438839	0.186
x153	4.845798336	0.187
x154	4.838185227	0.188
x155	4.830597908	0.189
x156	4.823034782	0.19
x157	4.815495559	0.191
x158	4.807979953	0.192
x159	4.800487682	0.193
x160	4.793018467	0.194
x161	4.785572483	0.195
x162	4.778153081	0.196
x163	4.770755962	0.197
x164	4.763380861	0.198
x165	4.756027517	0.199
x166	4.748695676	0.2
x167	4.741385083	0.201
x168	4.734097859	0.202
x169	4.726833941	0.203
x170	4.719590558	0.204
x171	4.71236747	0.205
x172	4.705164442	0.206
x173	4.697981241	0.207
x174	4.690820205	0.208
x175	4.683681191	0.209
x176	4.676561339	0.21
x177	4.669460425	0.211
x178	4.662378234	0.212
x179	4.655314552	0.213
x180	4.648274368	0.214
x181	4.641252531	0.215
x182	4.63424858	0.216
x183	4.627262312	0.217
x184	4.620293529	0.218
x185	4.613346319	0.219
x186	4.606417563	0.22
x187	4.599505703	0.221
x188	4.59261055	0.222
x189	4.585731917	0.223
x190	4.578874489	0.224
x191	4.572034151	0.225
x192	4.565209777	0.226
x193	4.558401192	0.227
x194	4.551609061	0.228
