	APOD	CCDC92	CYS1	GSDME	STARD3NL	ST8SIA5	TMEM245	TSPYL5	VAT1
203933T	-8.446666667	-9.043333333	-11.79333333	-8.443333333	-9.396666667	-16.01666667	-12.38	-8.013333333	-8.18
205131T	-17.05333333	-8.556666667	-10.46333333	-9.383333333	-8.59	-15.39333333	-8.07	-15.24666667	-7.306666667
205567T	-7.206666667	-8.806666667	-12.29666667	-8.193333333	-10.71333333	-18.83666667	-13.93	-9.7	-8.503333333
205655T	-10.85	-12.42	-14.78833333	-9.536666667	-10.91	-18.04333333	-12.77333333	-12.1	-7.948333333
207800T	-7.33	-9.853333333	-13.85833333	-6.923333333	-11.36333333	-15.24666667	-9.923333333	-8.63	-8.396666667
208778T	-8.453333333	-10.22666667	-13.89166667	-7.513333333	-10.65333333	-17.37	-18.34333333	-8.233333333	-7.966666667
210153T	-4.32	-7.346666667	-13.24666667	-6.513333333	-6.313333333	-13.52333333	-12.77333333	-9.663333333	-4.663333333
210626T	-9.696666667	-7.543333333	-10.82833333	-6	-4.836666667	-8.688333333	-9.323333333	-8.143333333	-7.088333333
212175T	-12.00666667	-10.62333333	-14.555	-6.84	-11.27666667	-14.99	-18.24	-8.076666667	-9.526666667
215137T	-10.65	-9.516666667	-13.32	-7.93	-10.65	-12.57333333	-12.76166667	-9.926666667	-8.676666667
215404T	-2.753333333	-6.153333333	-8.303333333	-8.743333333	-9.1	-17.86	-11.27666667	-8.183333333	-5.483333333
215948T	-7.693333333	-5.666666667	-14.85333333	-7.553333333	-7.46	-15.88666667	-11.65	-9.99	-5.65
216098T	-10.96	-16.29	-11.41	-5.523333333	-16.29	-13.005	-12.035	-7.12	-10.9
216322T	-10.39333333	-11.55	-13.37333333	-7.51	-11.98333333	-17.99	-12.255	-9.39	-10.11666667
217233T	-5.74	-7.053333333	-11.09333333	-6.933333333	-10.66666667	-15.85666667	-10.89	-8.383333333	-6.183333333
219733T	-9.053333333	-6.143333333	-10.24666667	-8.91	-5.92	-16.36	-11.37	-8.543333333	-5.666666667
222645T	-6.993333333	-4.93	-10.1	-8.36	-6.066666667	-14.79666667	-11.1	-7.936666667	-4.743333333
225842T	-8.46	-8.833333333	-11.31333333	-8.436666667	-10.38333333	-17.41666667	-14.21666667	-9.326666667	-8.31
229641T	-7.84	-3.763333333	-8.456666667	-6	-4.536666667	-16.64	-8.863333333	-6.58	-2.283333333
231320T	-7.76	-5.97	-10.39666667	-8.173333333	-3.936666667	-16.56	-8.93	-8.63	-4.093333333
231857T	-5.483333333	-6.303333333	-12.37	-8.393333333	-7.823333333	-18.24166667	-12.17166667	-8.9	-6.233333333
233870T	-8.27	-9.41	-10.9	-6.083333333	-11.37666667	-14.90333333	-12.08	-7.77	-8.59
235811T	-8	-9.313333333	-10.72333333	-5.456666667	-11.97333333	-13.55666667	-11.71666667	-7.256666667	-8.676666667
240711T	-2.963333333	-6.533333333	-9.683333333	-5.89	-8.763333333	-10.66	-11.67	-5.976666667	-5.503333333
242946T	-10.78333333	-7.438333333	-13.00333333	-5.326666667	-9.328333333	-13.72833333	-15.45833333	-5.556666667	-7.033333333
244773T	-7.59	-6.403333333	-8.955	-6.28	-9.203333333	-14.9	-11.54	-7.326666667	-5.883333333
247373T	-7.22	-6.223333333	-10.63	-6.193333333	-7.72	-15.45	-15.45	-7.97	-5.273333333
250235T	-7.53	-7.3	-11.69666667	-6.106666667	-9.12	-11.19	-11.25	-7.346666667	-6.41
251012T	-2.82	-8.16	-10.14333333	-5.836666667	-8.783333333	-14.11	-13.035	-6.756666667	-7.256666667
255631T	-7.633333333	-6.736666667	-10.85666667	-8.673333333	-7.4	-20.41	-11.4	-8.166666667	-6.376666667
257623T	-5.286666667	-5.5	-8.26	-6.626666667	-8.086666667	-12.19166667	-11.1	-6.28	-6.056666667
257950T	-2.73	-6.21	-9.64	-6.866666667	-6.19	-15.50666667	-10.39333333	-5.903333333	-4.853333333
258800T	-6.45	-6.256666667	-9.936666667	-6.646666667	-6.363333333	-11.77833333	-9.816666667	-8.833333333	-6.006666667
260591T	-7.816666667	-7.293333333	-10.12333333	-6.03	-8.673333333	-15.93833333	-11.95	-7.16	-5.773333333
262411T	-7.42	-8.553333333	-10.87333333	-7.02	-10.57333333	-17.46333333	-11.39833333	-8.386666667	-7.476666667
262524T	-6.47	-5.923333333	-10.97	-7.686666667	-5.9	-14.09833333	-10.82333333	-9.29	-4.983333333
266474T	-4.376666667	-4.91	-11.74666667	-6.156666667	-5.113333333	-12.27333333	-9.313333333	-7.17	-2.67
267687T	-7.363333333	-8.176666667	-12.95333333	-5.656666667	-9.22	-13.575	-14.86	-5.92	-7.33
268413T	-3.023333333	-4.556666667	-8.01	-7.388333333	-6.72	-9.998333333	-10.68833333	-6.143333333	-4.173333333
150630T	-3.65	-3.95	-8.126666667	-5.75	-2.916666667	-14.39	-8.616666667	-5.896666667	-2.23
178843T	-7.946666667	-9.99	-11.19333333	-6.64	-9.986666667	-17.28333333	-9.623333333	-8.483333333	-6.193333333
180405T	-0.663333333	-3.463333333	-6.52	-5.88	-4.233333333	-14.33	-8.563333333	-4.643333333	-2.713333333
185100T	-4.996666667	-5.29	-7.073333333	-7.343333333	-5.433333333	-14.02666667	-10.48333333	-7.66	-4.356666667
186615T	-0.096666667	-3.383333333	-6.953333333	-6.24	-3.423333333	-13.93666667	-7.22	-4.926666667	-2.24
191793T	-1.586666667	-4.553333333	-8.37	-6.923333333	-4.213333333	-15.86	-9.47	-5.623333333	-2.786666667
196107T	-1.376666667	-3.623333333	-6.316666667	-6.463333333	-4.126666667	-17.92666667	-8.823333333	-5.08	-2.37
197301T	-5.48	-4.553333333	-11.15666667	-5.886666667	-3.12	-12.70333333	-8.893333333	-7.526666667	-1.963333333
198282T	-4.653333333	-5.523333333	-11.20666667	-7.95	-3.31	-15.14	-8.95	-9.063333333	-3.44
205831T	-1.59	-6.993333333	-4.68	-5.163333333	-2.26	-13.295	-7.266666667	-4.873333333	-2.376666667
207155T	-1.72	-4.28	-5.98	-5.91	-7.52	-15.71666667	-9.946666667	-7.276666667	-3.266666667
214825T	-4.703333333	-4.273333333	-5.473333333	-5.16	-2.623333333	-9.093333333	-5.128333333	-3.958333333	-3.328333333
217350T	-2.113333333	-3.18	-6.903333333	-6.426666667	-4.676666667	-16.29333333	-9.606666667	-4.456666667	-2.896666667
217413T	-6.203333333	-6.12	-11.52333333	-6.83	-7.116666667	-14.46	-11.41333333	-7.773333333	-5.456666667
