	CGRS	Probability
x0	1000000	0
x1	6.751601598	0.148001
x2	6.742753303	0.149001
x3	6.733944537	0.150001
x4	6.725174796	0.151001
x5	6.716443581	0.152001
x6	6.707750402	0.153001
x7	6.699094776	0.154001
x8	6.690476227	0.155001
x9	6.681894283	0.156001
x10	6.673348483	0.157001
x11	6.664838368	0.158001
x12	6.656363489	0.159001
x13	6.647923402	0.160001
x14	6.639517668	0.161001
x15	6.631145857	0.162001
x16	6.622807542	0.163001
x17	6.614502306	0.164001
x18	6.606229733	0.165001
x19	6.597990984	0.166001
x20	6.589784408	0.167001
x21	6.581609402	0.168001
x22	6.573465573	0.169001
x23	6.565352532	0.170001
x24	6.557269897	0.171001
x25	6.549217291	0.172001
x26	6.541194341	0.173001
x27	6.533200683	0.174001
x28	6.525235954	0.175001
x29	6.517299798	0.176001
x30	6.509391865	0.177001
x31	6.501511809	0.178001
x32	6.493659673	0.179001
x33	6.485837629	0.180001
x34	6.478042528	0.181001
x35	6.470274039	0.182001
x36	6.46253184	0.183001
x37	6.45481561	0.184001
x38	6.447125035	0.185001
x39	6.439459803	0.186001
x40	6.431819609	0.187001
x41	6.424204183	0.188001
x42	6.416617198	0.189001
x43	6.40905441	0.190001
x44	6.401515529	0.191001
x45	6.394000269	0.192001
x46	6.386508347	0.193001
x47	6.379039485	0.194001
x48	6.371593409	0.195001
x49	6.364172273	0.196001
x50	6.356775531	0.197001
x51	6.34940081	0.198001
x52	6.342047849	0.199001
x53	6.334716393	0.200001
x54	6.327406188	0.201001
x55	6.320116985	0.202001
x56	6.312853363	0.203001
x57	6.305610389	0.204001
x58	6.298387712	0.205001
x59	6.291185096	0.206001
x60	6.284002308	0.207001
x61	6.276839269	0.208001
x62	6.269700688	0.209001
x63	6.262581267	0.210001
x64	6.255480787	0.211001
x65	6.24839903	0.212001
x66	6.241335782	0.213001
x67	6.234293681	0.214001
x68	6.227272295	0.215001
x69	6.220268795	0.216001
x70	6.213282979	0.217001
x71	6.206314646	0.218001
x72	6.199365584	0.219001
x73	6.192437295	0.220001
x74	6.185525902	0.221001
x75	6.178631214	0.222001
x76	6.171753045	0.223001
x77	6.164893829	0.224001
x78	6.15805397	0.225001
x79	6.151230075	0.226001
x80	6.144421966	0.227001
x81	6.137629472	0.228001
x82	6.130857	0.229001
x83	6.12410116	0.230001
x84	6.117360409	0.231001
x85	6.110634581	0.232001
x86	6.103925186	0.233001
x87	6.097234777	0.234001
x88	6.090558788	0.235001
x89	6.083897066	0.236001
x90	6.077249459	0.237001
x91	6.070621591	0.238001
x92	6.064007879	0.239001
x93	6.057407805	0.240001
x94	6.050821226	0.241001
x95	6.04425262	0.242001
x96	6.037698795	0.243001
x97	6.031158012	0.244001
x98	6.024630133	0.245001
x99	6.018119209	0.246001
x100	6.011622985	0.247001
x101	6.00513923	0.248001
x102	5.998667818	0.249001
x103	5.99221303	0.250001
x104	5.985772209	0.251001
x105	5.979343315	0.252001
x106	5.972926228	0.253001
x107	5.96652606	0.254001
x108	5.960138537	0.255001
x109	5.953762424	0.256001
x110	5.947397843	0.257001
x111	5.941050575	0.258001
x112	5.934714331	0.259001
x113	5.928389003	0.260001
x114	5.922076585	0.261001
x115	5.915779135	0.262001
x116	5.909492233	0.263001
x117	5.903215778	0.264001
x118	5.896954086	0.265001
x119	5.890704575	0.266001
x120	5.884465158	0.267001
x121	5.8782365	0.268001
x122	5.87202337	0.269001
x123	5.865819994	0.270001
x124	5.859626284	0.271001
x125	5.85344602	0.272001
x126	5.847277713	0.273001
x127	5.841118746	0.274001
x128	5.834969985	0.275001
x129	5.828835801	0.276001
x130	5.822710642	0.277001
x131	5.816594428	0.278001
x132	5.810491802	0.279001
x133	5.804399538	0.280001
x134	5.79831592	0.281001
x135	5.792243314	0.282001
x136	5.786183058	0.283001
x137	5.780131156	0.284001
x138	5.77408799	0.285001
x139	5.768058877	0.286001
x140	5.762037836	0.287001
x141	5.756024801	0.288001
x142	5.750024722	0.289001
x143	5.744033708	0.290001
x144	5.738050432	0.291001
x145	5.732078373	0.292001
x146	5.726116574	0.293001
x147	5.720162254	0.294001
x148	5.714217658	0.295001
x149	5.708284283	0.296001
x150	5.702358135	0.297001
x151	5.696440452	0.298001
x152	5.69053473	0.299001
x153	5.684635992	0.300001
x154	5.678744678	0.301001
x155	5.672865858	0.302001
x156	5.666993788	0.303001
x157	5.661128421	0.304001
x158	5.655275654	0.305001
x159	5.649429528	0.306001
x160	5.643589881	0.307001
x161	5.637762151	0.308001
x162	5.631941262	0.309001
x163	5.626126637	0.310001
x164	5.620323422	0.311001
x165	5.614527083	0.312001
x166	5.6087368	0.313001
x167	5.602957582	0.314001
x168	5.597185124	0.315001
x169	5.59141852	0.316001
x170	5.585662788	0.317001
x171	5.579913557	0.318001
x172	5.574169987	0.319001
x173	5.568437234	0.320001
x174	5.562710594	0.321001
x175	5.556989427	0.322001
x176	5.551279154	0.323001
x177	5.545574485	0.324001
x178	5.539875265	0.325001
x179	5.534186818	0.326001
x180	5.528503515	0.327001
x181	5.522826033	0.328001
x182	5.517158533	0.329001
