Symbol	APOD	CCDC92	CYS1	GSDME	ST8SIA5	STARD3NL	TMEM245	TSPYL5	VAT1
GSM2235556	10.63010504	11.01763608	5.346933449	10.8077034	6.17128956	6.665754933	8.606344067	6.081724283	9.342267428
GSM2235557	10.2097911	10.75105876	5.47365259	8.319797872	5.561018193	7.490935452	8.954520086	7.527795091	8.593946854
GSM2235558	12.89931008	10.60043897	5.599329058	8.617675597	6.885290028	7.43945317	10.02780885	7.504724146	8.392675445
GSM2235559	8.608947062	10.46994526	5.504727804	8.39535154	5.642194212	6.809606264	9.249049159	7.181790227	8.640739269
GSM2235560	12.02319031	11.04943184	5.420956222	9.361611765	5.443550582	7.556964304	10.06588731	7.91399048	8.030691303
GSM2235561	11.51788106	10.13710341	5.478807104	8.164747801	5.354775915	8.045534782	8.946470826	8.002730357	7.814155626
GSM2235562	10.2097911	10.50049372	5.609884712	7.257591627	5.45932608	7.817609774	9.357056318	6.423776928	7.179607148
GSM2235563	10.45899862	9.582172651	5.525934817	9.539418198	5.584822645	7.614908076	9.422062212	9.026112494	8.344407573
GSM2235564	9.546739748	9.801193559	5.624655098	9.511933225	5.941309614	8.916316707	9.015794672	10.55794371	9.295364947
GSM2235565	11.5974369	11.228703	5.6504923	9.100707903	5.604989095	7.63863326	11.44668197	8.455353831	8.858929859
GSM2235566	11.62585422	9.872150229	5.474611603	9.382571371	5.988043233	7.659838887	9.149997739	8.491813759	9.817884332
GSM2235567	11.39430366	9.958451019	5.612517428	8.676352487	5.435007501	7.357920862	9.852185683	7.544391212	9.695756619
GSM2235568	9.226560182	9.53674114	5.734323561	6.295384767	5.390949767	6.280643636	8.764488411	8.603880321	11.87893431
GSM2235569	6.843550832	9.367573572	5.684219165	7.361126758	5.660691653	7.550634205	9.018068231	6.462221508	9.180469297
GSM2235570	10.34722041	10.12291451	5.694268083	9.120996041	5.620537766	7.790551817	8.936054205	6.915294082	9.414987398
GSM2235571	9.859175526	9.73072921	5.498034757	8.350253339	5.576689668	7.159813921	8.039430257	6.270152383	9.081794813
GSM2235572	11.11476085	10.47589176	5.609856363	8.23109789	5.138250569	7.377525036	9.98885911	7.966219259	9.719530022
GSM2235573	12.63396194	9.969324046	5.559632313	8.903446801	5.655491424	7.947265515	9.205789966	8.483565638	7.256801284
GSM2235574	9.167051508	10.43958257	5.591776084	8.679964647	5.66376437	8.769387508	8.198468478	7.363326267	7.946104435
GSM2235575	7.758845377	10.70445637	5.344625082	8.818975049	5.580540074	7.686443098	8.123618949	11.49641461	7.566114052
GSM2235576	7.588342503	9.950737747	5.552607359	6.830686184	5.448984459	8.594291742	7.723634504	5.96115753	6.945341067
GSM2235577	12.71671121	10.48379804	5.6663973	9.290701911	5.616985607	7.994336616	9.168698852	7.626143472	7.662157799
GSM2235578	9.77134536	10.66810798	5.634192124	7.24919348	5.531628366	8.71143854	8.18009442	7.102689591	6.538331207
GSM2235579	9.337184244	11.56319109	5.512752419	9.754708443	5.557317777	9.032857662	8.740956613	7.303470612	7.095763321
GSM2235580	12.9886903	10.63672708	5.645242051	8.899871106	5.601144194	8.16043043	9.377122209	7.117794229	7.653533807
GSM2235582	11.88326599	10.24532858	5.572606208	8.488619662	5.746935578	7.987104206	8.724347796	6.176235679	7.348727725
GSM2235584	9.160682797	10.05091466	5.555696507	7.43945317	5.404591741	8.274243039	8.58001083	6.556775484	6.437202467
