	APOD	CCDC92	CYS1	GSDME	ST8SIA5	STARD3NL	TMEM245	TSPYL5	VAT1
TCGA.3M.AB46	3.248309004	3.430322514	2.857166155	2.695828978	0.641302345	3.384698805	3.543687698	3.520813263	3.567543361
TCGA.3M.AB47	3.638176396	3.511296276	3.060993916	2.987937417	1.106670661	3.164789569	3.53857242	3.149871523	3.637834778
TCGA.B7.5816	3.187430935	3.346576704	3.072474539	3.202050259	0.906946226	3.344942336	3.522835016	3.009527206	3.61894716
TCGA.B7.5818	2.411782759	3.504027	2.736805537	3.182873058	1.142588536	3.428845729	3.522180602	2.678327082	3.707432801
TCGA.B7.A5TI	3.503833944	3.365274789	3.529517174	3.036591254	0	3.304241675	3.651058043	2.947377777	3.642491781
TCGA.B7.A5TJ	3.49456798	3.472862469	2.874438327	2.682993368	0	3.05259388	3.53121908	2.770892403	3.645396633
TCGA.B7.A5TK	3.614487803	3.517529843	3.0387879	2.873558027	0	3.340289708	3.639132266	3.188197671	3.499070149
TCGA.B7.A5TN	3.080966031	3.569579441	3.240912721	3.162799536	1.10909868	3.244924885	3.600571464	3.194163605	3.630033592
TCGA.BR.4187	3.85846851	3.459336115	2.903191294	2.944671679	0	3.414276879	3.6246485	3.248606879	3.679164269
TCGA.BR.4191	3.60062687	3.361431223	3.123277014	2.950504679	2.062965719	3.450581835	3.65543761	2.989057423	3.617556937
TCGA.BR.4201	3.546542378	3.399714724	2.930532337	3.202089792	1.355111945	3.418823407	3.570766653	3.120552119	3.736347431
TCGA.BR.4253	2.650328011	3.252753485	1.406358521	2.902491503	0	3.39584421	3.580619699	2.838942853	3.518407086
TCGA.BR.4255	3.806372354	3.43117503	3.092170547	3.095939138	1.64270484	3.311952842	3.716174669	3.213589543	3.758542287
TCGA.BR.4256	3.495256069	3.374486998	2.990053622	3.072117174	0.81257228	3.422298347	3.604240439	3.141186497	3.716662049
TCGA.BR.4257	2.905236163	3.229218093	2.460346436	2.947332775	0.544160894	3.322697709	3.521486414	2.906387609	3.69201376
TCGA.BR.4267	2.674824556	3.378528907	2.41277702	2.827267509	0	3.359846529	3.554113326	3.329568567	3.681648704
TCGA.BR.4279	3.988002859	3.318350365	3.072736145	3.122872884	0.586223585	3.477640624	3.683858854	3.244113247	3.723123162
TCGA.BR.4280	2.447660517	3.400167675	1.92738868	2.361453959	1.368530471	3.36029135	3.536733734	2.561378728	3.482172176
TCGA.BR.6452	2.97246164	3.35642634	2.779255718	2.780835788	0.75405194	3.268535506	3.550530839	2.895626296	3.646229913
TCGA.BR.6453	3.798499334	3.464849813	2.977703484	2.998951133	1.602009786	3.250055545	3.503274806	3.175844181	3.726987489
TCGA.BR.6455	3.479974064	3.483658114	2.730738861	2.790878374	0.772428827	3.322863925	3.594526672	2.848167915	3.806363398
TCGA.BR.6456	3.522964011	3.496554509	3.204703297	3.038072222	0.474406487	3.366397428	3.573172945	3.257535115	3.784613815
TCGA.BR.6457	3.919058402	3.517508876	3.215680665	3.121119712	1.570144203	3.304467808	3.665740916	3.269866307	3.780800457
TCGA.BR.6458	3.357542952	3.448284116	3.012859795	2.979895209	1.129334287	3.296354066	3.585648392	3.02765431	3.653638493
TCGA.BR.6563	3.765853232	3.502867075	3.280374829	3.058582019	1.289387718	3.311755143	3.599978833	3.215654393	3.731430859
TCGA.BR.6564	3.763718751	3.566107149	3.436032346	3.130854018	1.18726806	3.293889952	3.748514766	3.37625608	3.762576138
TCGA.BR.6565	3.660790694	3.402899713	2.976689375	3.033433735	0	3.285001125	3.568019137	2.999811499	3.752851202
TCGA.BR.6566	3.092253325	3.336486698	3.034479463	3.041352727	0.667070097	3.275168928	3.403712797	2.868527276	3.649143802
TCGA.BR.6705	3.77755744	3.501108416	3.222725327	3.04743876	1.771760457	3.316344355	3.597912094	3.232916279	3.809994948
TCGA.BR.6706	3.546020834	3.488649349	3.096165803	2.940335233	1.030536945	3.319323361	3.577482373	3.167002971	3.685035335
TCGA.BR.6707	3.557818428	3.369177323	2.827575293	2.877783891	1.227697237	3.363080702	3.575637512	2.883052327	3.755956211
TCGA.BR.6709	2.74268045	3.477281532	2.914828268	3.360954899	1.080862044	3.387316798	3.603812842	2.851760303	3.693271153
TCGA.BR.6801	3.211376297	3.531457008	2.98645396	2.892053975	0.995875265	3.398883438	3.588953898	3.041200036	3.717434278
TCGA.BR.6802	3.013727037	3.377715072	2.661679141	2.747381717	0.677714296	3.175935182	3.498570729	2.892697685	3.667088544
TCGA.BR.6803	3.738215827	3.535868825	3.35695151	3.158335037	1.024322777	3.287984149	3.697369586	3.363321774	3.747248068
TCGA.BR.6852	3.230407618	3.359086499	2.839655814	2.826567451	1.862457338	3.243448566	3.515072115	2.841770072	3.700946787
TCGA.BR.7196	3.729910947	3.460360899	3.051832753	3.088849587	1.299646579	3.333612215	3.653012308	3.220095415	3.67711071
TCGA.BR.7197	3.403250316	3.380762364	3.025155017	2.68324954	1.142466077	3.274007229	3.638669277	2.875322387	3.674405636
TCGA.BR.7703	2.972871951	3.318798724	2.64406939	2.515834049	1.848524269	3.342740806	3.471871828	2.639363713	3.692926397
TCGA.BR.7704	3.063981285	3.580889942	2.650198968	2.736798157	2.12195807	3.309952892	3.530531397	2.999446646	3.614650145
TCGA.BR.7707	2.640931345	3.164536919	2.827373715	2.689031883	0.661113868	3.271465327	3.584753435	2.653789862	3.633966947
TCGA.BR.7715	3.513568508	3.45286448	2.881459728	2.890293301	1.867089572	3.39301662	3.610020659	2.993382875	3.746281621
TCGA.BR.7716	3.542544151	3.528408793	2.859253471	3.330612091	1.028059023	3.270250256	3.545042366	3.521111847	3.782686444
TCGA.BR.7717	3.449663324	3.506311476	2.945079573	2.695912498	1.261976586	3.307358584	3.835576974	2.939343085	3.7230448
TCGA.BR.7722	3.28023459	3.499510978	3.285546318	3.075555827	1.456093412	3.256321326	3.60839721	3.198861887	3.617271084
TCGA.BR.7723	3.568210932	3.530635544	2.628301934	3.134215383	2.014423524	3.299394942	3.621920186	3.372659736	3.732992055
TCGA.BR.7901	3.685588591	3.485019691	3.074471328	3.177208836	2.177070916	3.335076201	3.638821113	3.448064505	3.697694426
TCGA.BR.7957	3.650711494	3.411764029	3.1745024	2.976388673	1.534756548	3.342123869	3.653446147	3.312135359	3.670973229
TCGA.BR.7958	3.093215023	3.439098229	2.829856735	2.935472577	0	3.317172134	3.57041976	3.047280199	3.60564432
TCGA.BR.7959	3.688083826	3.414407508	3.072897709	3.036754973	1.18594662	3.354545522	3.690652297	3.225896928	3.714055112
TCGA.BR.8058	3.469972925	3.435736614	3.184101082	3.057609962	1.182458175	3.327629116	3.529428069	3.458839904	3.61131418
TCGA.BR.8059	3.325744299	3.433402258	3.163377914	3.11909331	0	3.338524317	3.620865332	3.187259334	3.777426088
TCGA.BR.8060	3.676855735	3.314051971	2.870166596	3.173291266	2.37276712	3.431507846	3.636298592	3.471710722	3.672772112
TCGA.BR.8077	3.532083337	3.461625531	2.970487428	3.463478446	1.675375151	3.360263532	3.584391834	3.101231937	3.597975856
TCGA.BR.8078	3.358097828	3.284488164	2.928575876	3.001664686	0.784841596	3.319517322	3.593517287	2.945209145	3.600023295
TCGA.BR.8080	3.67404305	3.420695128	3.19774686	3.307215311	1.251672202	3.29778537	3.678378913	3.270364648	3.671347902
TCGA.BR.8081	3.597989368	3.42731861	2.928966106	3.047294752	1.551431296	3.30995962	3.526480791	3.028686204	3.608232086
TCGA.BR.8284	3.299908906	3.450744875	3.092586615	3.035808219	1.15753296	3.23805931	3.604814484	3.129161341	3.602948234
TCGA.BR.8286	3.314124115	3.375617031	2.728755305	3.182348225	1.172558075	3.343041483	3.617058849	2.830974299	3.63515269
TCGA.BR.8289	3.585673996	3.500229527	3.216051165	3.098193085	1.159438039	3.328066702	3.670959792	3.038324344	3.728250478
TCGA.BR.8291	3.756537496	3.445407856	3.237583941	3.164863801	1.129083598	3.334086186	3.546734138	3.389792507	3.66973056
TCGA.BR.8295	3.317586514	3.555532446	2.606199834	3.193044149	2.277177029	3.390759162	3.623298619	3.477583723	3.705517809
TCGA.BR.8296	3.240623693	3.479513669	2.723054876	2.701359121	2.116026319	3.340395379	3.634852354	3.117933685	3.668677684
TCGA.BR.8297	3.60697695	3.534291181	3.458477003	3.043746075	1.504394199	3.310886079	3.793902709	3.302793542	3.601840495
TCGA.BR.8361	2.524561259	3.145590468	2.461801823	2.443793981	1.300045499	3.32597527	3.565948061	2.719508211	3.62640996
TCGA.BR.8362	3.755668372	3.460900858	3.160000737	2.994239921	1.449319482	3.51118128	3.649824193	3.107833116	3.6382108
TCGA.BR.8363	3.369395766	3.432894479	2.602043024	2.730547997	1.538980082	3.282351467	3.563354298	3.008348631	3.725396487
TCGA.BR.8364	3.881663032	3.485088429	3.445702593	3.177168509	1.600116291	3.341165694	3.739132135	3.345735694	3.68856015
TCGA.BR.8365	3.703006446	3.535689691	3.440701805	3.074742258	1.573337494	3.305821859	3.827733048	3.39063233	3.700061674
TCGA.BR.8366	3.71105994	3.52524775	3.033556123	2.904979408	1.091706749	3.405880063	3.644920527	3.082768082	3.609959838
TCGA.BR.8367	3.988451666	3.381513578	3.246912759	2.887710692	0.850977805	3.217291867	3.718530953	3.208633355	3.598869047
TCGA.BR.8368	3.07665913	3.370475457	2.254239991	2.302406271	1.718312466	3.281785902	3.523335675	2.549112923	3.639096197
TCGA.BR.8369	3.578364121	3.446920954	3.104080375	2.823097713	0.58886308	3.250630656	3.711190924	3.136404414	3.600472054
TCGA.BR.8371	3.797389912	3.58164672	3.451463718	3.102608597	1.016982017	3.312602302	3.796995789	3.441464018	3.700542249
TCGA.BR.8372	3.153893586	3.36104557	2.547310353	2.974518708	1.708269183	3.447869988	3.57161124	2.801436243	3.575718026
TCGA.BR.8373	3.671314514	3.36355794	3.359403991	3.308031875	1.270211072	3.292586718	3.708871924	3.033453266	3.821524543
TCGA.BR.8381	3.447234462	3.509344061	2.999848317	2.92976486	1.598754248	3.294015522	3.561929185	3.067204683	3.595973731
TCGA.BR.8382	3.042075024	3.401709068	3.056947052	2.927430093	0	3.193081361	3.500723631	2.978088593	3.614675009
TCGA.BR.8384	3.655994064	3.520946429	3.417921124	3.051703205	1.97042118	3.266747883	3.804131701	3.427772808	3.67220294
TCGA.BR.8483	3.799245107	3.520779761	2.946827116	2.822841808	1.161099742	3.398777641	3.532096219	2.920951571	3.737692473
TCGA.BR.8484	3.380285063	3.450046671	2.605016229	3.154080423	1.946190576	3.281177841	3.533659612	3.509884653	3.562827093
TCGA.BR.8485	3.399501161	3.433680532	3.095235636	3.207333314	0	3.281726591	3.556384669	3.088196838	3.608503185
TCGA.BR.8486	3.333046559	3.392100318	2.861980586	2.996069121	0.767412635	3.279531966	3.559219056	3.071503534	3.517320855
TCGA.BR.8487	2.959833499	3.459998267	2.611846205	2.869419549	1.294650234	2.986397985	3.52415541	2.681824227	3.646159779
TCGA.BR.8588	3.511880531	3.417239749	2.83763541	3.007987882	0.683358311	3.325691786	3.605227141	3.113997029	3.593682533
TCGA.BR.8589	2.956204097	3.375125051	2.337325772	2.617783904	0	3.429884997	3.673825214	2.740768567	3.469407159
TCGA.BR.8590	3.695202874	3.366476892	3.106653983	3.184012158	1.39372379	3.26484645	3.646073696	3.309161293	3.666216757
TCGA.BR.8591	3.172959147	3.276382898	2.696803644	2.787580419	0.931163858	2.994306047	3.608821698	2.914863526	3.550183153
TCGA.BR.8592	3.698420794	3.525650646	3.424448545	3.080334001	1.776173008	3.265755266	3.786724081	3.352518355	3.668908942
TCGA.BR.8676	3.152457774	3.305299904	2.696305262	1.617727055	0	3.451089902	3.571531071	2.533121331	3.691322929
TCGA.BR.8677	3.561986114	3.520156845	2.985010126	3.234793038	1.511143833	3.299293771	3.598166813	3.101659618	3.629343682
TCGA.BR.8678	2.57505125	3.322483727	2.652915447	2.878182021	1.250462805	3.267703786	3.62349134	2.765777254	3.630252834
TCGA.BR.8680	3.272672258	3.310963411	2.658595778	2.450121845	1.123920188	3.30876637	3.563458766	2.59602002	3.399757352
TCGA.BR.8682	3.771448156	3.357089791	3.066082359	3.017083786	0	3.261802732	3.757918947	3.216772397	3.680577828
TCGA.BR.8683	3.462171932	3.495418336	2.994918598	3.387513525	1.789801471	3.352670844	3.705723557	3.118876371	3.634509332
TCGA.BR.8686	3.754077479	3.453230269	3.31035757	2.896537378	0.793999827	3.329430111	3.641971471	3.120204732	3.601716764
TCGA.BR.8687	3.359877408	3.296930753	2.939528127	3.236450939	0.827620235	3.256180931	3.653643203	3.484321725	3.561684566
TCGA.BR.8690	3.687386694	3.573611599	3.119480488	3.167504144	1.697938156	3.324654388	3.57946082	3.041581728	3.611620125
TCGA.BR.A44T	3.748496996	3.56939529	3.321734286	3.067107559	1.529502274	3.285686773	3.742757244	3.33628804	3.607654561
TCGA.BR.A44U	3.678271091	3.527467584	2.936264949	2.931758621	1.540392394	3.348063087	3.68014089	2.92560932	3.639354984
TCGA.BR.A452	3.214972523	3.479512653	2.358100289	2.798455659	0.359491359	3.28519963	3.572651092	3.491719636	3.608826028
TCGA.BR.A453	3.700522475	3.612208119	3.476153422	3.19669182	1.605309099	3.34265666	3.717298214	3.405188068	3.717330738
TCGA.BR.A4CS	3.960113003	3.661164191	2.653183565	2.718783122	2.859225705	3.511948825	3.512790957	2.923537027	3.779338377
TCGA.BR.A4IU	3.654216741	3.524588188	3.348864136	3.045591378	0.45270164	3.31387926	3.75777721	3.35398779	3.627539205
TCGA.BR.A4IV	3.651535273	3.584402325	3.459802247	3.120485226	1.619421204	3.352018102	3.875731875	3.404904249	3.674557081
TCGA.BR.A4IY	2.978350043	3.423367118	3.175425023	2.862616283	1.501861944	3.393629016	3.587564196	3.04683593	3.671312733
TCGA.BR.A4IZ	3.616293033	3.492690468	3.004032703	3.311304948	1.72498473	3.365796889	3.559818663	3.353724489	3.759563835
TCGA.BR.A4J1	3.454442548	3.440282959	2.811508005	3.355761723	1.754321448	3.408709845	3.490887338	3.594700189	3.663932388
TCGA.BR.A4J2	3.890387431	3.479523019	3.090395917	2.973896392	2.343457057	3.340710556	3.624593224	3.271942659	3.627634946
TCGA.BR.A4J5	3.489215885	3.50202587	3.299661675	2.993086737	1.628558169	3.323949565	3.70576867	3.264585283	3.657766941
TCGA.BR.A4J6	3.691007208	3.348463235	2.958294557	2.867353993	1.283567057	3.350246863	3.65154289	2.9965571	3.599353662
TCGA.BR.A4J7	3.753314002	3.529254729	3.480313281	3.023178037	1.227171082	3.377174434	3.753245193	3.275147085	3.65575299
TCGA.BR.A4J8	3.562321695	3.559825271	3.066269726	2.893507883	1.315434103	3.160646773	3.63117204	3.15047853	3.563027734
TCGA.BR.A4J9	3.758013574	3.601978306	3.459725955	3.130225074	1.381031815	3.315712876	3.84321745	3.39537929	3.637900685
TCGA.BR.A4PD	2.953586824	3.499935725	2.74046318	3.041753445	2.301831081	3.125153912	3.563339889	3.283789323	3.599108354
TCGA.BR.A4PE	2.563950899	3.391385031	2.581066546	2.963611126	0.35829039	3.374369331	3.607709682	2.906368865	3.543966589
TCGA.BR.A4PF	3.277435512	3.379393912	1.906562804	2.88888156	1.115167284	3.306132858	3.530686374	3.400769247	3.478272007
TCGA.BR.A4QI	3.741495181	3.565947287	3.063937429	3.446204841	1.956457147	3.396742345	3.628540639	2.717619144	3.765030276
TCGA.BR.A4QL	3.308129843	3.364616333	2.535582096	2.471293155	2.389247497	3.32706789	3.46230919	2.676683038	3.657984562
TCGA.BR.A4QM	3.336709004	3.465645669	2.661236489	2.748262396	0	3.308148475	3.518118739	2.934741327	3.501895246
TCGA.CD.5798	3.552927219	3.561656983	3.396783601	3.005563249	1.572162596	3.324796497	3.701357356	3.251716069	3.739162472
TCGA.CD.5799	3.498564794	3.473253521	2.895486607	2.916459625	0	3.278211515	3.380306176	3.15625391	3.531871427
TCGA.CD.5800	3.646638789	3.489512493	3.254036817	3.187476416	2.527723721	3.352761927	3.525553171	2.666859117	3.805559195
TCGA.CD.5801	3.149421745	3.481904952	2.692171391	2.867152982	0	3.434137243	3.623161541	2.774451679	3.605207132
TCGA.CD.5803	3.702738401	3.479883849	3.211562608	3.052125667	1.551784968	3.283758612	3.627268732	3.318336808	3.757912887
TCGA.CD.5804	3.810215016	3.503011835	3.101891622	3.110774594	1.503428144	3.278313523	3.588041395	3.26516472	3.695871801
TCGA.CD.5813	3.943707839	3.454154562	3.235478824	3.161091324	1.201123204	3.323830729	3.496801761	3.271480392	3.799852865
TCGA.CD.8524	3.707715829	3.497181757	3.056271726	2.891189553	1.781088887	3.29381529	3.653513289	3.058917547	3.690966729
TCGA.CD.8525	3.94963282	3.463715214	3.013308481	3.173222772	0	3.28412427	3.511135393	3.380901784	3.645920815
TCGA.CD.8526	3.635620036	3.456783438	2.730233992	3.109878554	1.520231484	3.299153005	3.619956473	3.529386409	3.710691808
TCGA.CD.8527	3.563810579	3.571392418	2.940105453	3.08911213	2.301124535	3.336555106	3.50009594	2.864726796	3.70980133
TCGA.CD.8528	2.661977926	3.330737138	2.777853491	2.905579605	0	3.023073062	3.53890236	2.901549419	3.533248737
TCGA.CD.8529	3.326386557	3.379074231	3.002556736	3.083558972	0.798818073	3.310430449	3.606270197	3.099974287	3.6863913
TCGA.CD.8530	3.78434472	3.476741694	3.148037552	3.135293478	1.596068964	3.379834864	3.719469417	3.177522455	3.685051177
TCGA.CD.8531	3.095259746	3.491008515	2.710083429	2.911028827	0.58563569	3.371136935	3.517934418	3.432062748	3.609823019
TCGA.CD.8532	3.567110058	3.401151168	3.48380519	2.888335194	0	3.310006579	3.492344548	3.406348604	3.524152957
TCGA.CD.8533	3.568535982	3.454612725	3.201370126	2.675931732	1.647213509	3.45780006	3.479664583	2.842223982	3.500148804
TCGA.CD.8534	3.745445021	3.508626837	2.93316755	2.950559199	1.813630698	3.396914804	3.640896802	3.051632553	3.537771192
TCGA.CD.8535	3.039709151	3.444805667	2.521508832	2.623102405	1.133537839	3.382633548	3.712155411	2.827894224	3.702624513
TCGA.CD.8536	3.081877672	3.30602659	2.763218247	2.656117031	0	3.214714872	3.604693061	2.788570689	3.699773953
TCGA.CD.A486	3.871300178	3.419614636	3.228131597	3.452350173	2.16125358	3.45356304	3.559547365	3.295998328	3.704397747
TCGA.CD.A487	3.330802958	3.340631062	3.095772943	2.829385423	1.101915296	3.300732478	3.595324266	3.081069116	3.569325999
TCGA.CD.A489	3.829812323	3.541040122	3.222158456	3.262925395	1.17306111	3.402447294	3.785085476	3.276384564	3.624097407
TCGA.CD.A48A	3.588392172	3.426308656	3.035359295	3.121908095	2.709959969	3.423176231	3.633427977	3.341961835	3.661755964
TCGA.CD.A48C	3.631910053	3.503693828	3.023219903	3.123475597	0	3.414051185	3.548432357	2.975244304	3.636084545
TCGA.CD.A4MG	2.932371236	3.381284128	2.89208011	2.848759735	1.528467933	3.340550396	3.487155366	2.949005717	3.60574452
TCGA.CD.A4MH	3.425648395	3.479168209	3.430905884	3.330274676	0.516734769	3.363930971	3.493015444	2.863348789	3.578091471
TCGA.CD.A4MI	3.813628914	3.538939533	3.249621132	3.160691623	1.779609956	3.307216941	3.671409308	3.231349544	3.654637095
TCGA.CD.A4MJ	2.744078894	3.29169689	2.872406176	2.77335962	0.384799971	2.94030155	3.534265734	2.841119164	3.694146783
TCGA.CG.4301	3.496629899	3.342157603	2.774049949	3.139450911	1.048272213	3.464246805	3.661904784	3.20724505	3.629952244
TCGA.CG.4304	3.213846813	3.421673897	2.648598324	3.118513092	0	3.401128608	3.549097589	2.992715639	3.63051261
TCGA.CG.4305	3.697619433	3.387948594	2.49623392	2.8154002	0.911108348	3.194748483	3.567021445	3.074507588	3.666420748
TCGA.CG.4306	3.311763481	3.267893698	2.433655533	2.603689738	1.285146449	3.235078314	3.597175598	2.990890161	3.542604561
TCGA.CG.4436	3.537750594	3.308354307	1.67236018	2.435681559	0	3.46074946	3.627528437	2.620344932	3.644712987
TCGA.CG.4437	3.362444209	3.453254351	2.933744211	2.944110509	0	3.338998588	3.501813773	2.968778161	3.6592002
TCGA.CG.4438	3.565462053	3.318390492	2.581391732	3.061852334	0	3.315086002	3.569730342	3.353318443	3.710905056
